N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;AF 6271;A;0645;20251027;20260326;1234000;BIQ;BIQ;100;E90;J;1;;;;;W25;93;;;03JUN25 1508;
N;LYS;AF 6272;D;0725;20251027;20260326;1234000;RNS;RNS;100;E90;J;1;;;;;W25;94;;;14MAY25 1331;
N;LYS;AF 6273;A;1050;20251027;20260326;1234000;RNS;RNS;100;E90;J;1;;;;;W25;95;;;14MAY25 1331;
N;LYS;AF 6274;D;1130;20251027;20260326;1234000;BIQ;BIQ;100;E90;J;1;;;;;W25;96;;;03JUN25 1508;
N;LYS;AF 6275;A;1430;20251026;20260322;0000007;BIQ;BIQ;100;E90;J;1;;;;;W25;97;;;14MAY25 1331;
N;LYS;AF 6275;A;1445;20251027;20260326;1234000;BIQ;BIQ;100;E90;J;1;;;;;W25;98;;;14MAY25 1331;
N;LYS;AF 6275;A;1535;20251031;20260327;0000500;BIQ;BIQ;100;E90;J;1;;;;;W25;99;;;03JUN25 1508;
N;LYS;AF 6276;D;1510;20251026;20260322;0000007;RNS;RNS;100;E90;J;1;;;;;W25;100;;;14MAY25 1331;
N;LYS;AF 6276;D;1520;20251027;20260326;1234000;RNS;RNS;100;E90;J;1;;;;;W25;101;;;14MAY25 1331;
N;LYS;AF 6276;D;1620;20251031;20260327;0000500;RNS;RNS;100;E90;J;1;;;;;W25;102;;;14MAY25 1331;
N;LYS;AF 6277;A;1835;20251026;20260322;0000007;RNS;RNS;100;E90;J;1;;;;;W25;103;;;14MAY25 1331;
N;LYS;AF 6277;A;1840;20251027;20260326;1234000;RNS;RNS;100;E90;J;1;;;;;W25;104;;;14MAY25 1331;
N;LYS;AF 6277;A;1935;20251031;20260327;0000500;RNS;RNS;100;E90;J;1;;;;;W25;105;;;14MAY25 1331;
N;LYS;AF 6278;D;1915;20251026;20260322;0000007;BIQ;BIQ;100;E90;J;1;;;;;W25;106;;;14MAY25 1331;
N;LYS;AF 6278;D;1920;20251027;20260326;1234000;BIQ;BIQ;100;E90;J;1;;;;;W25;107;;;03JUN25 1508;
N;LYS;AF 6278;D;2015;20251031;20260327;0000500;BIQ;BIQ;100;E90;J;1;;;;;W25;108;;;03JUN25 1509;
N;LYS;AF 7360;A;0950;20251026;20260322;0000007;CDG;CDG;100;E90;J;1;;;;;W25;109;;;12JUN25 1441;
N;LYS;AF 7360;A;1005;20251027;20260327;1000500;CDG;CDG;178;320;J;1;;;;;W25;110;;;14MAY25 1331;
N;LYS;AF 7360;A;1005;20251028;20260328;0234060;CDG;CDG;100;E90;J;1;;;;;W25;111;;;12JUN25 1441;
N;LYS;AF 7361;D;1035;20251026;20260322;0000007;CDG;CDG;100;E90;J;1;;;;;W25;112;;;12JUN25 1441;
N;LYS;AF 7361;D;1100;20251027;20260327;1000500;CDG;CDG;178;320;J;1;;;;;W25;113;;;14MAY25 1331;
N;LYS;AF 7361;D;1050;20251028;20260328;0234060;CDG;CDG;100;E90;J;1;;;;;W25;114;;;12JUN25 1441;
N;LYS;AF 7362;A;0850;20251026;20260322;0000007;CDG;CDG;100;E90;J;1;;;;;W25;115;;;14MAY25 1331;
N;LYS;AF 7362;A;0830;20251027;20260328;1030560;CDG;CDG;178;320;J;1;;;;;W25;116;;;14MAY25 1331;
N;LYS;AF 7362;A;0830;20251028;20260326;0204000;CDG;CDG;100;E90;J;1;;;;;W25;117;;;14MAY25 1331;
N;LYS;AF 7363;D;0945;20251026;20260322;0000007;CDG;CDG;100;E90;J;1;;;;;W25;118;;;14MAY25 1331;
N;LYS;AF 7363;D;0925;20251027;20260328;1030560;CDG;CDG;178;320;J;1;;;;;W25;119;;;14MAY25 1331;
N;LYS;AF 7363;D;0925;20251028;20260326;0204000;CDG;CDG;100;E90;J;1;;;;;W25;120;;;14MAY25 1331;
N;LYS;AF 7364;A;1250;20251026;20260322;0000007;CDG;CDG;178;320;J;1;;;;;W25;121;;;14MAY25 1331;
N;LYS;AF 7364;A;1305;20251027;20260328;1234560;CDG;CDG;178;320;J;1;;;;;W25;122;;;03JUN25 1509;
N;LYS;AF 7365;D;1345;20251026;20260322;0000007;CDG;CDG;178;320;J;1;;;;;W25;123;;;14MAY25 1331;
N;LYS;AF 7365;D;1400;20251027;20260328;1234560;CDG;CDG;178;320;J;1;;;;;W25;124;;;03JUN25 1507;
N;LYS;AF 7366;A;1320;20251026;20260322;0000007;CDG;CDG;178;320;J;1;;;;;W25;125;;;10JUL25 1452;
N;LYS;AF 7367;D;1415;20251026;20260322;0000007;CDG;CDG;178;320;J;1;;;;;W25;126;;;10JUL25 1452;
N;LYS;AF 7368;A;1635;20251026;20260328;1234567;CDG;CDG;178;320;J;1;;;;;W25;127;;;14MAY25 1331;
N;LYS;AF 7369;D;1730;20251026;20260328;1234567;CDG;CDG;178;320;J;1;;;;;W25;128;;;14MAY25 1331;
N;LYS;AF 7370;A;2130;20251026;20260328;1234567;CDG;CDG;178;320;J;1;;;;;W25;129;;;14MAY25 1331;
N;LYS;AF 7371;D;0555;20251026;20260328;1234567;CDG;CDG;174;320;J;1;;;;;W25;130;;;14MAY25 1331;
N;LYS;AF 9408;A;0935;20251101;20251101;0000060;CDG;CDG;100;E90;J;1;;;;;W25;131;;;10JUL25 1455;
N;LYS;AF 9408;A;0950;20251108;20251220;0000060;CDG;CDG;100;E90;J;1;;;;;W25;132;;;10JUL25 1455;
N;LYS;AF 9408;A;0935;20251227;20260103;0000060;CDG;CDG;100;E90;J;1;;;;;W25;133;;;10JUL25 1455;
N;LYS;AF 9408;A;0950;20260110;20260328;0000060;CDG;CDG;100;E90;J;1;;;;;W25;134;;;10JUL25 1455;
N;LYS;AF 9409;D;0915;20251026;20260322;0000007;CDG;CDG;100;E90;J;1;;;;;W25;135;;;14MAY25 1331;
N;LYS;IZ  751;A;0845;20260103;20260328;0000060;TLV;TLV;180;320;C;1;;;;;W25;136;;;30APR25 0904;
N;LYS;IZ  752;D;1015;20260103;20260328;0000060;TLV;TLV;180;320;C;1;;;;;W25;137;;;30APR25 0904;
N;LYS;IZ  753;A;1015;20260103;20260328;0000060;TLV;TLV;189;73H;C;1;;;;;W25;138;;;30APR25 0904;
N;LYS;IZ  754;D;1145;20260103;20260328;0000060;TLV;TLV;189;73H;C;1;;;;;W25;139;;;30APR25 0904;
N;LYS;JU  230;A;0740;20251031;20260327;0000500;BEG;BEG;108;E90;J;1;;;;;W25;140;;;15MAY25 0951;
N;LYS;JU  230;A;0810;20251129;20260328;0000060;BEG;BEG;144;319;J;1;;;;;W25;141;;;15MAY25 0951;
N;LYS;JU  231;D;0825;20251031;20260327;0000500;BEG;BEG;108;E90;J;1;;;;;W25;142;;;15MAY25 0951;
N;LYS;JU  231;D;0855;20251129;20260328;0000060;BEG;BEG;144;319;J;1;;;;;W25;143;;;15MAY25 0951;
N;LYS;JU  232;A;1910;20251027;20260323;1000000;BEG;BEG;108;E90;J;1;;;;;W25;144;;;15MAY25 0951;
N;LYS;JU  233;D;1955;20251027;20260323;1000000;BEG;BEG;108;E90;J;1;;;;;W25;145;;;15MAY25 0951;
N;LYS;OS  353;A;1105;20251026;20260327;1234507;VIE;VIE;120;E95;J;1;;;;;W25;146;;;03JUN25 1510;
N;LYS;OS  353;A;1105;20251101;20260103;0000060;VIE;VIE;120;E95;J;1;;;;;W25;147;;;15MAY25 0946;
N;LYS;OS  353;A;1105;20260131;20260328;0000060;VIE;VIE;120;E95;J;1;;;;;W25;148;;;15MAY25 0946;
N;LYS;OS  354;D;1150;20251026;20260327;1234507;VIE;VIE;120;E95;J;1;;;;;W25;149;;;03JUN25 1508;
N;LYS;OS  354;D;1150;20251101;20260103;0000060;VIE;VIE;120;E95;J;1;;;;;W25;150;;;15MAY25 0946;
